"Timestamp","Name:","DET-PIT","DET-PIT series length:"
"N/A","Andrew D","Pittsburgh Penguins","6 Games"
"N/A","Daniel S","Pittsburgh Penguins","7 Games"
"N/A","David D","Detroit Red Wings","7 Games"
"N/A","Kollin H","Pittsburgh Penguins","6 Games"
"N/A","Michael D","Detroit Red Wings","7 Games"
"N/A","Thomas L","Pittsburgh Penguins","6 Games"
"N/A","Results","Detroit Red Wings","6 Games"
